"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-14","5.14"," 0856","0.22",,,,"72","56","  100","  120","13.0","18.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-15","5.14"," 1839","0.00",,,,"85","53","  310","  300","16.1","21.0","    1",,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-16","6.49"," 1450","0.00",,,,"88","60","  270","  240","16.1","21.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-17","3.80"," 1609","1.94",,,,"80","63","  220","  230","23.0","30.0","    1",,"    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-18","2.91"," 1156","0.00",,,,"85","62","  260","  250","14.1","18.1","    1",,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-19","3.13"," 1142","0.00",,,,"84","67","  210","   30","13.0","17.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-20","4.47"," 1841","0.00",,,,"84","65","  160","  160","16.1","23.9",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-21","5.59"," 0654","0.00",,,,"87","69","  140","  120","15.0","33.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-22","4.70"," 1717","0.15",,,,"86","71","  140","  140","17.0","23.9","    1",,"    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-23","4.92"," 1121","0.83",,,,"74","66","  340","  330","17.0","23.0","    1","    1","    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-24","5.14"," 1117","0.10",,,,"71","66","  130","  120","12.1","21.0","    1",,"    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-25","5.82"," 1347","0.00",,,,"82","65","  260","  150","14.1","21.0","    1",,,,,"    1",
