"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT04","WT08"
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-12","13.87"," 1022","0.04",,,"69","42","  240","  230","32.0","38.9","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-13","4.47"," 0106","0.00",,,"48","36","   30","   20","13.0","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-14","3.58"," 1304","0.06",,,"46","37","  110","  120","8.9","12.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-15","3.80"," 0949","0.00",,,"53","40","  310","  280","14.1","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-16","14.32"," 1410","0.04",,,"51","34","  300","  310","33.1","48.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-17","14.32"," 0348","0.00",,,"34","21","  330","  320","31.1","42.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-18","6.71"," 1242","0.32",,,"37","20","  230","  230","21.0","25.9","    1",,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-19","12.08"," 2226","0.00",,,"45","28","  330","  320","21.0","30.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-20","11.63"," 0238","0.00",,,"33","21","  320","  320","23.0","33.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-21","5.37"," 0013","0.00",,,"35","19","  330","  330","14.1","19.0",,,,"    1"
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-22","1.12"," 1122","0.00",,,"41","21","  290","  130","6.9","12.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-23","1.79"," 1717","0.00",,,"51","23","  180","  160","8.1","16.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-24","3.58"," 2359","0.00",,,"53","31","  100","   50","8.9","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-25","7.83"," 1151","1.43",,,"52","38","   80","   70","23.0","34.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-26","7.83"," 1116","0.00",,,"48","33","  270","  280","19.9","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-27","9.62"," 1621","0.00",,,"46","36","  310","  320","17.0","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-28","12.97"," 1039","0.00",,,"44","36","  330","  300","18.1","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-29","9.62"," 0030","0.00",,,"41","29","  320","  300","17.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-30","3.80"," 0238","0.00",,,"39","23","   30","   10","12.1","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-31","3.58"," 1655","0.01",,,"45","28","  140","  140","8.1","13.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-01","2.91"," 1947","0.00",,,"43","35","  290","  350","6.9","8.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-02","6.71"," 1644","0.07",,,"44","33","  230","  240","18.1","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-03","5.82"," 1022","0.00",,,"57","34","  250","  300","16.1","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-04","4.03"," 1547","0.00",,,"61","39","  340","  270","12.1","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-05","6.71"," 0201","0.00",,,"51","39","   20","   20","16.1","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-06","4.92"," 1942","0.45",,,"43","35","  120","  120","17.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-07","12.08"," 1508","0.24",,,"59","32","  290","  290","33.1","47.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-08","9.62"," 0202","0.00",,,"40","28","  290","  310","21.9","35.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-09","4.92"," 1423","0.00",,,"42","28","  120","  120","8.9","13.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-10","8.28"," 1020","0.31",,,"47","39","  220","  210","19.9","25.9","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-11","4.47"," 2320","0.30",,,"48","42","  320","  310","18.1","25.1","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-12","9.40"," 0225","0.12",,,"48","35","  310","  310","21.0","29.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-13","5.37"," 1943","0.49",,,"48","35","  310","  310","21.9","29.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-14","13.20"," 0916","0.00",,,"38","17","  310","  310","25.1","35.1",,,,
